time,latitude,longitude,sst
UTC,degrees_north,degrees_east,
1981-09-01T00:00:00Z,8.625,77.125,NaN
1981-09-01T00:00:00Z,8.625,77.375,NaN
1981-09-01T00:00:00Z,8.625,77.625,NaN
1981-09-01T00:00:00Z,8.625,77.875,NaN
1981-09-01T00:00:00Z,8.625,78.125,29.15
1981-09-01T00:00:00Z,8.875,72.125,27.74
1981-09-01T00:00:00Z,8.875,72.375,27.949999
1981-09-01T00:00:00Z,8.875,72.625,27.869999
1981-09-01T00:00:00Z,8.875,72.875,28.24
1981-09-01T00:00:00Z,8.875,73.125,28.01
1981-09-01T00:00:00Z,8.875,73.375,27.72
1981-09-01T00:00:00Z,8.875,73.625,27.849998
1981-09-01T00:00:00Z,8.875,73.875,27.8
1981-09-01T00:00:00Z,8.875,74.125,27.779999
1981-09-01T00:00:00Z,8.875,74.375,27.74
1981-09-01T00:00:00Z,8.875,74.625,27.84
1981-09-01T00:00:00Z,8.875,74.875,27.949999
1981-09-01T00:00:00Z,8.875,75.125,28.029999
1981-09-01T00:00:00Z,8.875,75.375,27.88
1981-09-01T00:00:00Z,8.875,75.625,27.689999
1981-09-01T00:00:00Z,8.875,75.875,27.57
1981-09-01T00:00:00Z,8.875,76.125,27.449999
1981-09-01T00:00:00Z,8.875,76.375,27.17
1981-09-01T00:00:00Z,8.875,76.625,26.789999
1981-09-01T00:00:00Z,8.875,76.875,NaN
1981-09-01T00:00:00Z,8.875,77.125,NaN
1981-09-01T00:00:00Z,8.875,77.375,NaN
1981-09-01T00:00:00Z,8.875,77.625,NaN
1981-09-01T00:00:00Z,8.875,77.875,NaN
1981-09-01T00:00:00Z,8.875,78.125,NaN
1981-09-01T00:00:00Z,9.125,72.125,27.849998
1981-09-01T00:00:00Z,9.125,72.375,28.039999
1981-09-01T00:00:00Z,9.125,72.625,27.91
1981-09-01T00:00:00Z,9.125,72.875,27.97
1981-09-01T00:00:00Z,9.125,73.125,27.75
1981-09-01T00:00:00Z,9.125,73.375,27.64
1981-09-01T00:00:00Z,9.125,73.625,27.619999
1981-09-01T00:00:00Z,9.125,73.875,27.599998
1981-09-01T00:00:00Z,9.125,74.125,27.619999
1981-09-01T00:00:00Z,9.125,74.375,27.619999
1981-09-01T00:00:00Z,9.125,74.625,27.72
1981-09-01T00:00:00Z,9.125,74.875,27.849998
1981-09-01T00:00:00Z,9.125,75.125,27.859999
1981-09-01T00:00:00Z,9.125,75.375,27.72
1981-09-01T00:00:00Z,9.125,75.625,27.65
1981-09-01T00:00:00Z,9.125,75.875,27.58
1981-09-01T00:00:00Z,9.125,76.125,27.34
1981-09-01T00:00:00Z,9.125,76.375,27.22
1981-09-01T00:00:00Z,9.125,76.625,NaN
1981-09-01T00:00:00Z,9.125,76.875,NaN
1981-09-01T00:00:00Z,9.125,77.125,NaN
1981-09-01T00:00:00Z,9.125,77.375,NaN
1981-09-01T00:00:00Z,9.125,77.625,NaN
1981-09-01T00:00:00Z,9.125,77.875,NaN
1981-09-01T00:00:00Z,9.125,78.125,NaN
1981-09-01T00:00:00Z,9.375,72.125,27.91
1981-09-01T00:00:00Z,9.375,72.375,27.98
1981-09-01T00:00:00Z,9.375,72.625,27.869999
1981-09-01T00:00:00Z,9.375,72.875,27.73
1981-09-01T00:00:00Z,9.375,73.125,27.63
1981-09-01T00:00:00Z,9.375,73.375,27.57
1981-09-01T00:00:00Z,9.375,73.625,27.519999
1981-09-01T00:00:00Z,9.375,73.875,27.49
1981-09-01T00:00:00Z,9.375,74.125,27.47
1981-09-01T00:00:00Z,9.375,74.375,27.48
