time,LEV,latitude,longitude,sst
UTC,millibar,degrees_north,degrees_east,
2020-01-01T00:00:00Z,0.0,8.625,76.375,28.74
2020-01-01T00:00:00Z,0.0,8.625,76.625,28.76
2020-01-01T00:00:00Z,0.0,8.625,76.875,28.83
2020-01-01T00:00:00Z,0.0,8.625,77.125,NaN
2020-01-01T00:00:00Z,0.0,8.625,77.375,NaN
2020-01-01T00:00:00Z,0.0,8.625,77.625,NaN
2020-01-01T00:00:00Z,0.0,8.625,77.875,NaN
2020-01-01T00:00:00Z,0.0,8.625,78.125,28.0
2020-01-01T00:00:00Z,0.0,8.875,72.125,28.96
2020-01-01T00:00:00Z,0.0,8.875,72.375,29.019999
2020-01-01T00:00:00Z,0.0,8.875,72.625,29.119999
2020-01-01T00:00:00Z,0.0,8.875,72.875,29.179998
2020-01-01T00:00:00Z,0.0,8.875,73.125,29.24
2020-01-01T00:00:00Z,0.0,8.875,73.375,29.24
2020-01-01T00:00:00Z,0.0,8.875,73.625,29.269999
2020-01-01T00:00:00Z,0.0,8.875,73.875,29.21
2020-01-01T00:00:00Z,0.0,8.875,74.125,29.21
2020-01-01T00:00:00Z,0.0,8.875,74.375,29.289999
2020-01-01T00:00:00Z,0.0,8.875,74.625,29.4
2020-01-01T00:00:00Z,0.0,8.875,74.875,29.429998
2020-01-01T00:00:00Z,0.0,8.875,75.125,29.369999
2020-01-01T00:00:00Z,0.0,8.875,75.375,29.23
2020-01-01T00:00:00Z,0.0,8.875,75.625,28.98
2020-01-01T00:00:00Z,0.0,8.875,75.875,28.75
2020-01-01T00:00:00Z,0.0,8.875,76.125,28.64
2020-01-01T00:00:00Z,0.0,8.875,76.375,28.609999
2020-01-01T00:00:00Z,0.0,8.875,76.625,28.789999
2020-01-01T00:00:00Z,0.0,8.875,76.875,NaN
2020-01-01T00:00:00Z,0.0,8.875,77.125,NaN
2020-01-01T00:00:00Z,0.0,8.875,77.375,NaN
2020-01-01T00:00:00Z,0.0,8.875,77.625,NaN
2020-01-01T00:00:00Z,0.0,8.875,77.875,NaN
2020-01-01T00:00:00Z,0.0,8.875,78.125,NaN
2020-01-01T00:00:00Z,0.0,9.125,72.125,28.939999
2020-01-01T00:00:00Z,0.0,9.125,72.375,28.939999
2020-01-01T00:00:00Z,0.0,9.125,72.625,29.0
2020-01-01T00:00:00Z,0.0,9.125,72.875,29.07
2020-01-01T00:00:00Z,0.0,9.125,73.125,29.16
2020-01-01T00:00:00Z,0.0,9.125,73.375,29.23
2020-01-01T00:00:00Z,0.0,9.125,73.625,29.279999
2020-01-01T00:00:00Z,0.0,9.125,73.875,29.289999
2020-01-01T00:00:00Z,0.0,9.125,74.125,29.289999
2020-01-01T00:00:00Z,0.0,9.125,74.375,29.349998
2020-01-01T00:00:00Z,0.0,9.125,74.625,29.39
2020-01-01T00:00:00Z,0.0,9.125,74.875,29.38
2020-01-01T00:00:00Z,0.0,9.125,75.125,29.21
2020-01-01T00:00:00Z,0.0,9.125,75.375,28.97
2020-01-01T00:00:00Z,0.0,9.125,75.625,28.76
2020-01-01T00:00:00Z,0.0,9.125,75.875,28.529999
2020-01-01T00:00:00Z,0.0,9.125,76.125,28.43
2020-01-01T00:00:00Z,0.0,9.125,76.375,28.359999
2020-01-01T00:00:00Z,0.0,9.125,76.625,NaN
2020-01-01T00:00:00Z,0.0,9.125,76.875,NaN
2020-01-01T00:00:00Z,0.0,9.125,77.125,NaN
2020-01-01T00:00:00Z,0.0,9.125,77.375,NaN
2020-01-01T00:00:00Z,0.0,9.125,77.625,NaN
2020-01-01T00:00:00Z,0.0,9.125,77.875,NaN
2020-01-01T00:00:00Z,0.0,9.125,78.125,NaN
2020-01-01T00:00:00Z,0.0,9.375,72.125,28.92
2020-01-01T00:00:00Z,0.0,9.375,72.375,28.93
2020-01-01T00:00:00Z,0.0,9.375,72.625,28.91
2020-01-01T00:00:00Z,0.0,9.375,72.875,28.92
2020-01-01T00:00:00Z,0.0,9.375,73.125,29.029999
2020-01-01T00:00:00Z,0.0,9.375,73.375,29.099998
2020-01-01T00:00:00Z,0.0,9.375,73.625,29.179998
2020-01-01T00:00:00Z,0.0,9.375,73.875,29.24
2020-01-01T00:00:00Z,0.0,9.375,74.125,29.279999
2020-01-01T00:00:00Z,0.0,9.375,74.375,29.31
2020-01-01T00:00:00Z,0.0,9.375,74.625,29.32
2020-01-01T00:00:00Z,0.0,9.375,74.875,29.289999
2020-01-01T00:00:00Z,0.0,9.375,75.125,29.109999
2020-01-01T00:00:00Z,0.0,9.375,75.375,28.89
2020-01-01T00:00:00Z,0.0,9.375,75.625,28.65
2020-01-01T00:00:00Z,0.0,9.375,75.875,28.439999
2020-01-01T00:00:00Z,0.0,9.375,76.125,28.31
2020-01-01T00:00:00Z,0.0,9.375,76.375,28.3
2020-01-01T00:00:00Z,0.0,9.375,76.625,NaN
2020-01-01T00:00:00Z,0.0,9.375,76.875,NaN
2020-01-01T00:00:00Z,0.0,9.375,77.125,NaN
2020-01-01T00:00:00Z,0.0,9.375,77.375,NaN
2020-01-01T00:00:00Z,0.0,9.375,77.625,NaN
2020-01-01T00:00:00Z,0.0,9.375,77.875,NaN
2020-01-01T00:00:00Z,0.0,9.375,78.125,NaN
2020-01-01T00:00:00Z,0.0,9.625,72.125,28.97
2020-01-01T00:00:00Z,0.0,9.625,72.375,28.949999
2020-01-01T00:00:00Z,0.0,9.625,72.625,28.84
2020-01-01T00:00:00Z,0.0,9.625,72.875,28.81
2020-01-01T00:00:00Z,0.0,9.625,73.125,28.88
2020-01-01T00:00:00Z,0.0,9.625,73.375,28.949999
